"Time","__name__","activity_factor","agent_id","average_daily_volume","average_roundtrip_volume","base_balance","base_collateral","base_loan","combined_score","exported_netuid","hotkey","id","instance","inventory_value","inventory_value_change","job","kappa","kappa_penalty","kappa_score","min_daily_volume","min_roundtrip_volume","miner_gauge_name","netuid","placement","pnl","pnl_change","pnl_factor","pnl_score","quote_balance","quote_collateral","quote_loan","score","sim_id","task","total_daily_volume","total_realized_pnl","total_roundtrip_volume","unnormalized_score","wallet","Value"
2026-05-27 08:11:16.000,miners,0,0,0,0,8246,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-68783,-44.9,bittensor,None,None,None,0,0,miners,79,235,-19389,-44.9,1,None,3926345,0,0,0,20260521_0718,validator_metrics,0,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,11,728,339,8444,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-10185,-29.0,bittensor,None,None,None,0,0,miners,79,241,-10185,-29.0,1,None,3866922,0,0,0,20260521_0718,validator_metrics,93218,16.1,43408,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,113,0,0,8428,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-72622,-58.9,bittensor,None,None,None,0,0,miners,79,246,-72622,-58.9,1,None,3871698,0,0,0,20260521_0718,validator_metrics,0,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,114,8598,0,4671,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-166831,-28.6,bittensor,None,None,None,76.2,0,miners,79,244,-166831,-28.6,1,None,4975035,0,0,0,20260521_0718,validator_metrics,1100600,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,115,11319,855,12157,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,11424,-67.4,bittensor,None,None,None,1459,0,miners,79,217,11424,-67.4,1,None,2796692,0,0,1.19e-15,20260521_0718,validator_metrics,1448830,4349,109403,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,125,15421,1573,2958,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-5732,-18.7,bittensor,None,None,None,35.9,0,miners,79,221,-5732,-18.7,1,None,5464954,0,0,3.5e-16,20260521_0718,validator_metrics,1973945,-68.0,201341,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,127,16581,1648,2755,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,5293,-15.2,bittensor,None,None,None,137,0,miners,79,227,5293,-15.2,1,None,5525751,0,0,6.62e-17,20260521_0718,validator_metrics,2122398,-134,210954,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,133,6185,3037,8152,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-46888,-48.2,bittensor,None,None,None,3392,1651,miners,79,243,-46888,-48.2,1,None,3954040,0,0,0,20260521_0718,validator_metrics,791704,-400,388755,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,138,19636,539,146,0.125,0.250,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-12550,-0.755,bittensor,None,None,None,4653,0,miners,79,205,-12550,-0.755,1,None,6292290,0,0,5.97e-14,20260521_0718,validator_metrics,2513439,214,68938,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,141,17386,8406,8439,64.6,130,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-52571,-46.1,bittensor,None,None,None,337,168,miners,79,225,-52571,-46.1,1,None,3893617,6178,11974,2.3e-16,20260521_0718,validator_metrics,2225345,-709,1076014,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,143,21579,10478,8239,70.3,141,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-57184,-61.1,bittensor,None,None,None,316,156,miners,79,213,-57184,-61.1,1,None,3951783,2136,4272,4.09e-15,20260521_0718,validator_metrics,2762123,-821,1341220,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,144,19472,9357,8223,78.5,157,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-41958,-43.5,bittensor,None,None,None,573,286,miners,79,224,-41958,-43.5,1,None,3966501,10949,21899,2.82e-16,20260521_0718,validator_metrics,2492441,-623,1197645,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,158,17616,8455,7987,77.3,154,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-44825,-52.4,bittensor,None,None,None,251,91.0,miners,79,218,-44825,-52.4,1,None,4035312,7821,15643,5.31e-16,20260521_0718,validator_metrics,2254844,-338,1082190,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,166,9973,0,4279,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-33614,-27.3,bittensor,None,None,None,0,0,miners,79,238,-33614,-27.3,1,None,5087013,0,0,0,20260521_0718,validator_metrics,1276584,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,169,0,0,8128,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-33398,-50.2,bittensor,None,None,None,0,0,miners,79,237,-33398,-50.2,1,None,3961507,0,0,0,20260521_0718,validator_metrics,0,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,176,17220,281,734,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,142,-4.11,bittensor,None,None,None,218,0,miners,79,206,142,-4.11,1,None,6127009,0,0,4.15e-14,20260521_0718,validator_metrics,2204148,-3.65,36017,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,180,15422,5276,10066,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-54439,-57.2,bittensor,None,None,None,426,66.5,miners,79,222,-54439,-57.2,1,None,3386805,0,0,3.44e-16,20260521_0718,validator_metrics,1974063,-2485,675322,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,181,11230,1586,11309,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,16696,-61.6,bittensor,None,None,None,141,0,miners,79,203,16696,-61.6,1,None,3043762,0,0,6.12e-13,20260521_0718,validator_metrics,1437416,5043,203012,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,183,11224,5430,8376,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-15835,-59.0,bittensor,None,None,None,1030,441,miners,79,239,-15835,-59.0,1,None,3887362,0,0,0,20260521_0718,validator_metrics,1436674,-167,694983,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,185,9895,0,4112,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-32658,-11.8,bittensor,None,None,None,335,0,miners,79,240,-32658,-11.8,1,None,5137581,0,0,0,20260521_0718,validator_metrics,1266501,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,186,21826,10440,7959,134,267,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-49449,-31.5,bittensor,None,None,None,657,328,miners,79,219,-49449,-31.5,1,None,4058451,6661,13322,5.03e-16,20260521_0718,validator_metrics,2793673,-473,1336301,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,195,10540,0,3719,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-32163,-11.8,bittensor,None,None,None,0,0,miners,79,242,-32163,-11.8,1,None,5252625,0,0,0,20260521_0718,validator_metrics,1349156,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,20,3140,1121,8142,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,1416,-43.5,bittensor,None,None,None,368,0,miners,79,215,1416,-43.5,1,None,3958576,0,0,2.34e-15,20260521_0718,validator_metrics,401897,33.3,143429,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 08:11:16.000,miners,0,207,15441,0,1640,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-94341,-8.11,bittensor,None,None,None,1121,0,miners,79,232,-94341,-8.11,1,None,5918301,0,0,0,20260521_0718,validator_metrics,1976470,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
